text,corrected,exists
midsummer-night's,midsummer-nightes,False
man's,manes,True
woo'd,wooed,False
what's,whates,False
bewitch'd,bewitched,True
interchang'd,interchanged,True
stol'n,stolen,True
unharden'd,unhardened,True
filch'd,filched,True
daughter's,daughteres,False
turn'd,turned,True
advis'd,advised,True
compos'd,composed,True
father's,fatheres,False
look'd,looked,True
whe'r,wheer,True
father's,fatheres,False
mew'd,mewed,False
distill'd,distilled,True
father's,fatheres,False
diana's,dianaes,False
father's,fatheres,False
hermia's,hermiaes,False
deriv'd,derived,True
possess'd,possessed,True
rank'd,ranked,True
demetrius',demetriuse,False
belov'd,beloved,True
i'll,iell,False
nedar's,nedares,False
father's,fatheres,False
enthrall'd,enthralled,False
engag'd,engaged,True
another's,anotheres,False
'behold,ebehold,False
!',!e,False
cross'd,crossed,True
fancy's,fancyes,False
lov'st,lovest,False
father's,fatheres,False
cupid's,cupides,False
venus',venuse,False
burn'd,burned,True
tongue's,tonguees,False
shepherd's,shepherdes,False
tongue's,tonguees,False
i'd,ied,False
demetrius',demetriuse,False
seem'd,seemed,False
turn'd,turned,True
wat'ry,watery,True
lovers',loverse,False
athens',athense,False
devis'd,devised,False
lovers',loverse,False
o'er,oeer,False
hermia's,hermiaes,False
wing'd,winged,True
love's,lovees,False
beguil'd,beguiled,False
perjur'd,perjured,True
look'd,looked,True
hermia's,hermiaes,False
hail'd,hailed,False
dissolv'd,dissolved,False
hermia's,hermiaes,False
man's,manes,True
phibbus',phibbuse,False
ercles',erclese,False
tyrant's,tyrantes,False
that's,thates,False
i'll,iell,False
'thisne,ethisne,False
!',!e,False
'ah,eah,False
!',!e,False
thisby's,thisbyes,False
pyramus's,pyramuses,False
thisby's,thisbyes,False
lion's,liones,False
lion's,liones,False
man's,manes,True
'let,elet,False
.',.e,False
mother's,motheres,False
'twere,etwere,False
summer's,summeres,False
duke's,dukees,False
moone's,moonees,False
cowslip's,cowslipes,False
i'll,iell,False
stol'n,stolen,True
call'd,called,False
speak'st,speakest,False
gossip's,gossipes,False
wither'd,withered,True
'tailor',etailore,False
stol'n,stolen,True
buskin'd,buskined,True
summer's,summeres,False
disturb'd,disturbed,True
suck'd,sucked,False
stretch'd,stretched,False
attain'd,attained,False
men's,menes,False
fill'd,filled,True
hiems',hiemse,False
gossip'd,gossiped,False
neptune's,neptunees,False
laugh'd,laughed,False
theseus',theseuse,False
remember'st,rememberest,False
dolphin's,dolphines,False
sea-maid's,sea-maides,False
arm'd,armed,True
loos'd,loosed,False
cupid's,cupides,False
quench'd,quenched,False
wat'ry,watery,True
mark'd,marked,True
love's,lovees,False
show'd,showed,False
i'll,iell,False
i'll,iell,False
i'll,iell,False
i'll,iell,False
told'st,toldest,False
stol'n,stolen,True
i'll,iell,False
chang'd,changed,False
woo'd,wooed,False
i'll,iell,False
lull'd,lulled,False
enamell'd,enamelled,False
i'll,iell,False
long-legg'd,long-legged,False
wak'st,wakest,False
we'll,weell,False
love's,lovees,False
ne'er,neeer,False
wisher's,wisheres,False
press'd,pressed,False
flower's,floweres,False
wak'st,wakest,False
wheresoe'er,wheresoeeer,False
wash'd,washed,True
hermia's,hermiaes,False
sway'd,swayed,True
o'erlook,oeerlook,False
love's,lovees,False
love's,lovees,False
is't,iset,False
is't,iset,False
demetrius',demetriuse,False
refus'd,refused,False
abus'd,abused,False
remov'd,removed,True
i'll,iell,False
here's,herees,False
by'r,byer,False
lion's,liones,False
'ladies,eladies,False
",'",",e",False
'fair,efair,False
",'",",e",False
'i,ei,False
",'",",e",False
'i,ei,False
",'",",e",False
'i,ei,False
;',;e,False
mother's,motheres,False
i'll,iell,False
e'er,eeer,False
play'd,played,False
i'll,iell,False
ninny's,ninnyes,False
'ninus',eninuse,False
",'",",e",False
'never,enever,False
.',.e,False
i'll,iell,False
i'll,iell,False
i'll,iell,False
'cuckoo',ecuckooe,False
enamour'd,enamoured,False
virtue's,virtuees,False
whe'r,wheer,True
i'll,iell,False
glow-worm's,glow-wormes,False
worship's,worshipes,False
love's,lovees,False
awak'd,awaked,False
theseus',theseuse,False
enter'd,entered,False
ass's,asses,False
gun's,gunes,False
o'er,oeer,False
o'er,oeer,False
wak'd,waked,False
lov'd,loved,False
latch'd,latched,False
athenian's,athenianes,False
finish'd,finished,True
wak'd,waked,False
ey'd,eyed,True
o'er,oeer,False
stol'n,stolen,True
i'll,iell,False
